aamu	утро
nainen	женщина; дама
nakki	сосиска
nappi	пуговица
nauttia	наслаждаться
ne	они, те
neliö	квадрат (квадратный метр)
neljä	четыре
neljäkymmentä	сорок
neljäs	четвертый
neljästoista	четырнадцатый
neljätoista	четырнадцать
nelonen	четвертка
nenä	нос
neuvoa	советовать; показывать
nielu	глотка
nieriä	голец
niin	так; да
nimi	имя; название
nippu	связка; пачка; пучок
no	так
No niin.	Да так. Ну что ж.
noin (= sillä tavalla)	так, таким образом
noin (= suunnilleen)	приблизительно
nolla	ноль, нуль
nopeammin	быстрее
nopeasti	быстро
Norja	Норвегия
norjalainen	норвежец; норвежский
nousta	подниматься; вставать; в/выходить (в/из автобус/а и т. п.); повышаться и проч.
nuha	насморк
nukahtaa	засыпать
nukka	ворс
nukkua	спать
Nuku hyvin.	Спи спокойно!
numero	номер; цифра; отметка
nuori	молодой, юный
nykyisin	в настоящее время, теперь, сегодня, ныне
nykyään	сегодня, ныне
nyt	теперь nдette (> nдhdд) вы видите (> видеть)
nähdä	видеть
nähdään	увидим[ся]; до встречи
näin	я видел[а]; [вот] как, [вот] такой
näkemiin	До свидания!
näkyvyys	видимость
nämä	эти; они
näytelmä	пьеса; спектакль
näyttelijä	актер
näyttely	выставка
näyttää	показывать; предъявлять; выглядеть, напоминать; кажется, похоже
näytös	акт, действие; показ, демонстрация    
 	 
O	Наверх
odotella	ждать, ожидать, поджидать, дожидаться
odottaa	ждать, ожидать, поджидать, дожидаться (часто по смыслу ближе к сов. виду); ждать ребенка
odotus	ожидание; беременность
ohi	мимо
ohittaa	проходить/-езжать мимо, миновать; обгонять, опережать; обходить
ohjata	управлять, править, водить; направлять; руководить; ставить (пьесу и проч.)
ohjelma	программа; передача (радио, телевидение)
oikea (= aito)	настоящий, подлинный, истинный
oikea	правый; правильный, верный
oikeastaan	собственно; в сущности, по сути дела; на самом деле; фактически; в конце концов
oikein (tдssд: hyvin)	очень, весьма
oikein (tдssд: oikeastaan)	собственно
oire	симптом, признак
ojentaa	выпрямлять/-тягивать; протягивать; по/передавать, вручать
oksennuttaa	тошнить (кого), тошно (кому); вызывать рвоту (у кого)
oksettaa	тошнить (кого), тошно (кому)
Ole hyvä.	Пожалуйста! Будь добр[а]!
Olkaa hyvä.	Пожалуйста! Будьте добры!
olla	быть, существовать, иметься; бывать; находиться; состояться; иметь; являться и проч.
olla eläkkeellä	быть на пенсии
olla kihloissa	обручаться; обручен, помолвлен
olla naimisissa	женат, замужем
olla velkaa	должен (кому); быть в долгах; быть в долгу (перед кем)
olla yötä (= yöpyä)	ночевать ollenkaan (> ei
ollenkaan)	> совсем не[т]
olo	пребывание; самочувствие; (во мн. ч.) условия, обстоятельства, обстановка
olohuone	гостиная
olut	пиво
oma	cвой; собственный; личный
omakotitalo	[частный односемейный] коттедж
omena	яблоко on (> olla) есть (> быть)
ongelma	проблема; вопрос
Onnea!	Поздравляю! Поздравляем!
onneksi	к счастью
Onneksi olkoon!	Поздравляю! Поздравляем!
onnellinen	счастливый; благополучный
onnellista uutta vuotta	С Новым годом!
onni	счастье; удача
onnistunut	удачный
ooppera	опера
oopperajuhlat	оперный фестиваль
opastus	инструктирование; руководство; экскурсия
opettaja	учитель, преподаватель; инструктор
opiskelija-asunto	квартира для студентов (в т. ч. общежитие)
opiskella	учиться, изучать, заниматься
oppia	*научиться, *выучить; *овладеть, *усвоить
oppilas	ученик; учащийся
orkesteri	оркестр; ансамбль
osata	уметь; знать; владеть
osoite	адрес
ostaa	покупать ostokset (> ostos) покупки
ostos	покупок
ostoslista	список покупок
otsa	лоб
ottaa	брать; отбирать/-нимать; снимать; принимать и проч.
ottaa aurinkoa	загорать
Oulu (kaupungin nimi)	Оулу (название города)
Oulujoki (joen nimi)	Оулуйоки (название реки)
ovi	дверь    
 	 
P	Наверх
paha	плохой, дурной, нехороший; злой; грубый; лукавый и проч.
pahaa tekee (tekee kipeдд, sattuu)	больно (кому), болит (3. лицо ед. ч.)
paikalla (= tavattavissa)	на месте
paikka	место
paikkakunta	местность
painaa	нажимать; печатать (книгу); тяготить, угнетать; весить
paistaa (auringosta)	светить
paistaa (ruoan valmistamisesta)	жарить; *испечь (хлеб)
paistettu	жареный
paitapusero	батник
pakastaa	замораживать; морозить
pakastin	морозильник
paketti	пакет, пачка, посылка
pakkanen	мороз
pakko	необходимость; надо, необходимо, обязательно
pala	кусок
palata	возвращаться
paljon	много
paljonko	сколько
palmu	пальма
palmupuu	пальма, пальмовое дерево
paluu	возвращение
palvella	обслуживать; служить
palvelupiste	стол/точка обслуживания
pankki	банк
pankkiautomaatti	банкомат
pankkikortti	банковская карточка
panna	класть, ставить; надевать (одежду) и проч.
parantua	улучшаться; выздоравливаться, вылечиваться
paras	самый хороший, [самый] лучший
paremmin	лучше
parempi	более хороший, лучший; лучше
pari	пара; несколько
Pariisi	Париж
parveke	балкон
pasta	паста, макаронные изделия
patonki	батон [белого хлеба]
patsas	статуя, памятник
pelata	играть (в футбол, карты и проч.)
pelkkä	только,один лишь; чистый, сущий
penkki	скамейка; сиденье; грядка
pensas	куст
perhe	семья, семейство
perille	предлог до + глагол: дойти, доехать, добраться, доставить и проч. на место.
perinteinen	традиционный
perjantai	пятница
permanto	пол (в доме); партер
persoonallinen	оригинальный; индивидуальный
peruna	картофель
perunalaatikko	картофельная запеканка
perustaa	основывать, создавать, учреждать
perällä	в задней части/конце/глубине (чего)
pestä	мыть; стирать
pesuaine	моющее средство; стиральный порошок
pesukone	стиральная машина
pesuohjelma	программа для стирки
pesutupa	прачечная
pian	скоро, вскоре
pieni	маленький; небольшой
Pietari	Санкт-Петербург
piha	двор
pikajuna	скорый поезд, экспресс
pikkuinen	маленький, крошечный; малютка
pikkujoulut	предрождественский веселый вечер (букв. "малое Рождество")
pikkusisko	младшая сестра pilkki (> kдydд
pilkillä)	блесна; подледный лов рыбы, зимняя рыбалка (> ходить на зимнюю рыбалку)
pilvi	облако, туча; травка (наркотик)
pilvinen	облачный, пасмурный
pimeys	темнота, тьма; мрак
pimeä	темный, мрачный; незаконный (товар, доходы и проч.)
pipo	вязаная шапочка [с кисточкой] (разг.) pisin (> pitkд) самый длинный; самый высокий, выше всех (> длинный; высокий) pitempi (> pitkд) длиннее; выше (> длинный; высокий)
pitkin	по (чему), вдоль (чего)
pitkä	длинный; высокий (рост человека)
pitkästä aikaa	Сколько лет, сколько зим!
pitkään (= kauan)	долго; давно
pitsa	пицца
pitää (= täytyy)	надо, нужно (кому), должен, следует
pitää (= jдrjestää)	устраивать, организовать, проводить
pitää (= tykätä)	нравиться (кому), любить
pizza	пицца
pohjoinen	север
poika	мальчик
poikaystävä	друг, парень, бойфренд
poimia	собирать (ягоды, грибы и проч.); на/под/от/выбирать
pois	прочь, вон
polku	тропа, дорожка, тропинка
polttaa	жечь; обжигать; курить
pomo	босс, шеф; большая шишка, туз (разг.)
porkkana	морковка
porkkanalaatikko	морковная запеканка
posti	почта
postikortti	открытка
postimaksu	почтовый сбор
postimerkki	почтовая марка
postipaketti	почтовая посылка
postitoimisto	почтовое отделение, почта; почтамт
potilas	пациент; больной
pudota	падать, валиться; по/снижаться
puhdistaa	очищать
puhelin	телефон
puhelinvastaaja	автоответчик
puhelu	телефонный разговор
puhua	говорить; выступать [с речью]
puinen	деревянный
puisto	парк, сквер
pukki (joulupukki)	Дед Мороз
pulla	булка, булочка (подразумеваются практически все виды сладкого пшеничного хлеба)
pullo	бутылка
punainen	красный; алый; рыжий
punaviini	красное вино
punaviinipullo	бутылка красного вина
Puola	Польша
puoli (ajasta ja mitoista)	половина, пол- (о времени и единицах измерения)
puoli (tila)	сторона (о пространстве)
puolikas	половина, половинка
purjevene	парусная лодка, яхта
purkki	банка; (прост. и шутл. о судне) посудина, корыто
pusero	блузка; кофта; батник; свитер и проч.
puu	дерево; дрова; древесина; лесоматериалы
puutalo	деревянный дом
puutarhaihminen	человек, любящий садоводство
puuvilla	хлопок
puuvillainen	хлопчатобумажный
pyrkiä	стремиться; пытаться, стараться; поступать (в учебные заведения)
pyry	метель, вьюга
pyryttää	мести, вьюжить; [на улице] метель/метет
pystyttää	ставить, устанавливать; возводить
pysyä	оставаться; держаться
pysähtyä	останавливаться
pyyhe	влажная тряпка для вытирания; влажная гигиеническая салфетка; полотенце
pyyheliina	полотенце
pyyhin (pyyhkimet)	(во мн. ч.) [стекло]очистители
pyykki	стирка; стираемое белье
pyytää	просить
pyöriä	вертеться, крутиться; вращаться; кружиться; работать (мотор, завод и проч.)
päin	на + вин.падеж ("окна на улицу"), в направлении; с + род. ("ветер с моря"); кроме того, в разных речевых оборотах
päivystävä	дежурный
päivä	день
Pдivдд!	Добрый день! Здравствуйте!
pärjätä	справляться, успевать
pää	голова; конец
pääasia	главная/основная идея; главное
pääkaupunki	столица
pääkonttori	главная контора
päälle	над (кем-чем); на (кого-что); надевать (одежду); включать (свет, радио и т. п.)
päällä	над (кем-чем); на (ком-чем); носить (одежду); включен (свет, радио и т. п.)
päänsärky	головная боль
päästä	добираться, доходить/-езжать; достигать; *поступить/*окончить (учебные заведения) и пр.
päätie	главная дорога, магистраль
päättää	кончать, о/заканчивать, завершать; решать, принимать решение
päätös	решение; конец, окончание, исход
pöytä	стол; столик (в ресторане)    
 	 
R	Наверх
Raahe (kaupungin nimi)	Раахе (название города)
raaka	неспелый, незрелый, сырой (пища); чистый, неразбавленный (жидкость); жестокий, зверский (преступление); мерзкий, резкий (погода, ветер)
radio	радио; радиовещание; радиоприемник
raha	деньги; монета, купюра; валюта
raide	колея, [рельсовый] путь; рельс
rai­tiovaunu	трамвай
rai­tiovaunulippu	трамвайный билет
rakas	дорогой, милый
rakastaa	любить
rakentaa	строить
rankasti	сильный, проливной (дождь); тяжелый, суровый (работа, день)
Ranska	Франция
ranskalainen	француз; французский
ranskalaiset (perunat)	картофель фри
ranta	берег
rasittaa	утомлять; обременять
rasittava	утомительный; изводящий (человек)
rauha	мир; покой
rauhallista joulua	С Рождеством Христовым! (букв. "Желаю [вам] спокойного Рождества/рождественского покоя!"
rautatieasema	железнодорожная станция; ж.-д. вокзал
ravintola	ресторан
reikд	дырка
reippaasti	бойко, бодро; значительно
reissu (= matka)	поездка (разг.)
reistata	барахлить; пошаливать (разг.)
remontoida	ремонтировать
rentoutumisharjoitus	релаксационная гимнастика
resepti	рецепт
riippua	висеть; зависеть (от кого-чего)
riittдд	хватать; достаточно (чего); хватит! довольно!
rikas	богатый
rikkoa	ломать, разбивать; нарушать; менять (деньги)
risteily	круиз
ristiдiset	крестины
rivitalo	блокированный дом
Rooma	Рим
rosolli	винегрет [с селедкой]
rouva	дама, госпожа, женщина; супруга, хозайка
Rovaniemi (kaupungin nimi)	Рованиеми (название города)
runsas	обильный; с лишним
ruoka	еда, пища, продукты; корм; блюдо
ruokailu	питание
ruokailuvдline	столовые приборы
ruokalista	менью
ruokaosasto	продовольственный отдел
ruotsalainen	швед; шведский
Ruotsi	Швеция
ruotsi	шведский язык
Rymдttylд (paikan nimi)	Рюмяттюля (название местности)  
 	 
S	Наверх
saada (vastaanottaa)	получать, принимать
saada (voida)	мочь, можно
saada	получать
saada selvдд	понимать; *узнать, *выяснить
Saako olla…? (Otatko…?)	Хотите/хочешь [еще] …? Берите/берешь [еще] …? Можно вам/тебе [еще] …?
saame	саамский язык
Saana (tunturin nimi)	Саана (название сопки в Лапляндии)
saapas	сапог
saapua	прибывать, приходить, приезжать и т. п.
saari	остров
Saarijдrvi (paikan nimi)	Саариярви (название местности)
saaristo	архипелаг
sadas	сотый
Saimaa (jдrven nimi)	Сайма (название озера)
sairaala	больница
sairaanhoitaja	медсестра
sairas	больной
sairasloma	отпуск по болезни
sairastaa	болеть, хворать
sairastua	*заболеть, *захворать
Saksa	Германия
saksalainen	немец; немецкий
salaatti	салат
salama	молния
saldo	сальдо
sali	зал
sama	тот же [самый]
samaa mieltд	согласен
samoin	так же, таким же образом; одинаково
sanakirja	словарь
sanoa	*сказать
sata	сто
sataa	идет дождь
Sata-Hдme (alue Suomessa)	Сата-Хяме (область в Финляндии)
satama	гавань, порт
sattua (olla kipeд)	больно, болеть
sattumalta	случайно
sauna	сауна, баня
Savo (alue Suomessa)	Саво (область в Финдянлии)
Savonlinna (kaupungin nimi)	Савонлинна (название города)
savusauna	черная баня
se	он; этот
Se tekisi... (= Se maksaa…)	Это будет … Это стоит …
seinд	стена
Seinдjoki (kaupungin nimi)	Сеняйоки (название города)
seiska	семерка
seitsemдn	семь
Seitsemдn veljestд (romaanin nimi)	Семеро братьев (название романа)
seitsemдnkymmentд	семьдесять
seitsemдntoista	семнадцать
seitsemдs	седьмой
seitsemдstoista	семнадцатый
sekaisin	в беспорядке; расстроенный, запутанный и проч.
selkд	спина
sellainen	такой, таков; подобный
selleri	сельдерей
selvitд	про/выясняться; справляться (с чем); отправиться (от чего); обходиться (чем, без чего); *протрезвиться
selvд	ясный; четкий, отчетливый; понятный; трезвый
semmonen (= sellainen)	такой, таков; подобный (разг.)
Senaatintori	Сенатская площадь
sentti	цент; (разг.) сантиметр
sentддn	все же, все-таки
serkku	двоюродный брат
setti	комплект, набор (чего)
setд	дядя
seura	обшество, компания
seuraava	следующий
siellд	там
sieltд	оттуда
sieni	гриб
sienipiirakka	пирог/пирожок с грибами
siesta	сиеста siihen (> se) > он; этот (иллятив ед.ч.)
siika	сиг
siinд	здесь, тут; вон; вот (в разных оборотах речи)
siirappi	патока
siirtдд	передвигать/-мещать/-возить; переносить, откладывать и проч.
siis	значит; следовательно, итак
siitд	> он; этот (элатив ед.ч.) (кроме того, в разных оборотах речи)
siivota	убирать
silli	сельдь, селедка
silloin tдllцin	время от времени, временами sillд (> se) > он; этот (адессив ед.ч.)
sillд lailla (= niin)	так, таким образом; вот так
silta	мост
silti	все же, все-таки; тем не менее
sininen	синий, голубой
sinkku	одиночка; сингл
sinne	туда
Sinuhe egyptilдinen (romaanin nimi)	Синухе, египтянин (название романа)
sinuttelu	обращение на "ты"
sinд	ты
sipuli	лук, луковица
sisko	сестра
sisдltдд	содержать; включать
sisддn	внутрь; предлог/приставка в[o] (+ глагол)
sitten	потом, затем; [тому] назад и проч.
sivutie	второстепенная дорога; проселочная лорогая
skool	За ваше здоровье! (со шведского)
snapsi	рюмка водки (с немецкого)
sohva	диван
soitella	звонить, созваниваться
soitellaan	Пока! До встречи! (букв.) Давай будем созваниваться!
soittaa	звонить (по телефону); играть (на инструменте)
soitto	(телефонный) звонок; игра (на инструменте)
sokeri	сахар
sopia	договариваться; мириться; помещаться; подходить; годиться
sopimuspaperi	договор, контракт; договоренность (разг.)
sopiva	подходящий, удобный; уместный
sovittaa	примерять; аранжировать, инсценировать и проч.
sovitus	примерка; аранжировка, инсценировка и проч.
sovituskoppi	примерочная
spagettia	спагетти (партитив ед.ч.)
stipendi	стипендия
stressi	стресс
stretch-ominaisuus	эластичность, эластичные качества (одежды)
suihku	душ; струя; фонтан
sukkahousut	калготки
sukujuhla	семейное празднество (с участием всей родни)
sukukuva	фотография родственников, семейный портрет
sukulainen	родственник
sukunimi	фамилия
sulaa	таять, оттаивать
sulhanen	жених
suljettu	закрыт[ый]
sulkea	закрывать
sunnuntai	воскресенье
suoja	у/прикрытие (от чего); защита (от чего); оттепель
suola	соль
suoli	кишка
suomalainen	финн; финский
Suomenlahti	Финский залив
Suomenlinna (linnoitus Helsingissд)	Свеаборг (крепость в Хельсинки)
Suomi	Финляндия
suora	прямой
suoraan	прямо
suositella	рекомендовать
suosittu	популярный
surkea	жалкий; плохой; печальный
suu	рот
suuri	большой; крупный, великий
Sveitsi	Швейцария
syksy	осень
syntyд	рождаться; возникать
sytytys	за/раз/поджигание
syvд	глубокий
syvддn	глубоко
syyskuu	сентярбь
syцdд	есть, кушать
syцtдvд	съедобный; съестное
sдhkцposti	электронная почта
sдhly	разновидность флорбола, очень популярная в Финляндии
sдilyttдд	хранить, держать; сохранять
sдnky	кровать; постель
sдrkeд	ломать, разбивать; болеть
sдд	погода
sддtiedotus	сводка погоды, метео[рологическая ]сводка
sцpц	хорошенький, симпатичный    
 	 
T	Наверх
taas	опять, снова; с свою очередь, зато
tai	или
taide	искусство
taidenдyttely	художественная выставка
taitaa	уметь, знать, владеть (чем); пожалуй
taitava	умелый, знающий, искусный, тонкий и проч.
taivas	небо; царство небесное
tajuta	воспринимать; [о]сознавать, постигать; понимать
takaisin	обратно, назад
takana	за (кем-чем); сзади, позади
takki	пальто; плащ; куртка; пиджак
taksi	такси
talkoot	субботник, восресник
Tallinna (Viron pддkaupunki)	Таллинн (столица Эстонии)
talo	(tarkoittaа tдssд kahvilaa) дом (подразумевается кафетерий)
talo	дом
talouskauppa	магазин хозяйственных товаров
talvi	зима
talvirengas	зимняя покрышка
talviuinti	купание в проруби
tammikuu	январь
Tampere (kaupungin nimi)	Тампере (название города)
tango	танго
Tangomarkkinat	Фестиваль танго (букв. "ярмарка танго2 или "танго-рынок") (крупное событие популярной музыки, проводимое ежегодно в г.Сейняйоки)
tankata	заправлять (машину горючим); зубрить
Tanska	Дания
tanskalainen	датчанин; датский
tanssia	танцевать; плясать
tapa	обычай, традиция; привычка; тон, манеры; способ, образ
tapaaminen	встреча; свидание
tapani (= tapaninpдivд)	второй день Рождества
tapaninpдivд	второй день Рождества
tapella	драться; спорить; бороться (с кем-чем)
tarjoilija	официант
tarjolla	предлагаемый выбор/ассортимент товаров/ продуктов/блюд и проч. (в магазине, ресторане, дома и т. д.)
tarjota	предлагать, предоставлять; подавать; угощать
tarkasti	точно; четко, отчетливо; аккуратно, тщательно, основательно, подробно и проч.
tarkka	точный; четкий, отчетливый; острый, меткий; аккуратный и т. д. (см. выше)
tarkkailla	наблюдать; следить (за кем-чем)
tarkoittaa	иметь в виду, подразумевать; значить, o[бо]значать; предназначать
tarkoitus	смысл; цель; назначение; намерение
tarpeeksi	достаточно
tarpeellinen	нужный, необходимый
tarvis	нужно, надо, необходимо (разг.)
tarvita	нуждаться (в ком-чем), требовать (чего), требоваться; нужно, надо tarvitse (> ei
tarvitse)	> не надо
tasan	ровно
tasaoksainen	с соразмерными ветвями, симметрический (прежде всего, о рождественской елке)
taulu	картина, полотно; доска; табличка и проч.
tauti	болезнь, заболевание, недуг
tavallaan	в некотором/известном смысле/роде; как бы
tavallinen	обычный, обыкновенный, простой
tavallisesti	обычно, обыкновенно
tavara	товар, изделие; вещь; груз
tavaratalo	универмаг
tavata	встречать[ся]; видеть[ся]; навещать
te	вы
teatteri	театр
tee	чай teette (> tehdд) вы делаете (> делать)
tehdд	делать; совершать; изготовлять; состаялять и пр.
teitittely	обращение на "вы"
tekeminen	отглагольное существительное (> делать), одним словом не переводимое, т.к. встречается прежде всего в разных оборотах речи (напр. ei mitддn tekemistд -- "нечего делать")
televisio	телевизор
telkkari (= televisio)	телик (разг.)
teltta	палатка; шатер
Temppeliaukio (aukio Helsingissд)	Темппелиаукио (площадь в Хельсинки)
teos	произведение; труд
terassi	терраса
terve (ei sairas)	здоровый
terve (tervehdys)	Привет! Здоруво!
tervehdyksiд	приветствия
terveisiд	привет[вы], пожелания
tervetuloa	Довро пожаловать! Милости просим! С приездом!
terveys	здоровье
terveysasema	здравпункт
terveyskeskus	здравцентр, медпункт, поликлиника
Thaimaa	Таиланд
tie	дорога, шоссе; путь
tietenkin	конечно tietenkддn (>
tietenkin)	конечно не (+ глагол); нет, конечно
tietokilpailu	викторина
tietokonepeli	компьютерная игра
tietysti	конечно, разумеется
tietдд	знать; известно (кому)
tiistai	вторник
tila	место, пространство; помещение; имение, ферма; состояние, положение
tilata	заказывать; подписываться (на газету и т. п.)
tili	счет; отчет; получка, зарплата (разг.)
tilinumero	номер счета
tilli	укроп
tiskikone	посудомоечная машина
tiskipцytд	кухонная мойка
todellakin	действительно; в самом деле; поистине, истинно; (в вопросе также) неужели
todennдkцisesti	вероятно, очевидно
tohtori	доктор
toimia	действовать, работать; служить, быть (кем)
toinen – toisensa (resiprookkinen)	друг друга (номинатив + род.-вин. п. ед. ч.)
toinen (= muu)	другой, иной
toinen (jдrjestysluku)	второй
toipua	выздоравливаться, поправляться; оправляться
toisillemme	(> toinen – toisensa) друг другу (> друг друга) (номинатив ед. + аллатив мн. ч.)
toisistaan	(> toinen – toisensa) друг друга (> друг друга) (номинатив ед. + элатив мн.ч.)
toissapдivдnд	позавчера, третьего дня
toivottaa	желать
toivottavasti	надеюсь, будем надеяться
tori	рынок; площадь
torikahvila	кафе[-палатка] на рынке
torstai	четверг
tosi (= todella)	действительно, правда, право
tosi (totuus)	правда; истина
tosiaan (= todella)	в самом деле; действительно, правда, право totta (> tosi) > правда, истина (партитив ед. ч.)
totta kai	конечно, разумеется
tottua	привыкать; осваиваться; акклиматизироваться
totuus	правда; истина
toukokuu	май
tuhannes	тысячный
tuhat	тысяча
tuikkia	мерцать, мелькать, мигать
Tukholma	Штокгольм
tukossa	[нос] заложен; [в движении] затор; [экспорт] приостановлен; [канализация] засорилась
tulehtua	воспаляться
tuliainen	гостинец
tuliaislahja	подарок гостя хозяевам (часто из другого города или из-за рубежа)
tulla	прибывать/-ходить/-eзжать/-летать и т. п.
tulossa	инессив ед. ч. отглагольного сущ. tulo (>
tulla);	употребляется в разных значениях, напр. (о гостях) будут, придут; (о новых фильмах) вскоре [в нашем театре]; (о Рождестве) уже близко и пр.
tulostin	принтер, печатающее устройство
tumma	темный; смуглый
tunnelmallinen	уютный, приятный, интимный
tunnusluku	шифр, код
tuntea	чувствовать, ощущать; знать; узнавать
Tuntematon sotilas (romaanin nimi)	Неизвестный солдат (название романа)
tunti	час; урок
tuntua	чувствоваться, ощущаться; казаться
tunturi	сопка, гора с беслесной вершиной в Лапландии
tuo	тот; этот
tuoda	приносить/-водить/-возить; ввозить, импортировать
tuolla	там, вон
Tuomiokirkko	кафедральный собор
tuommoinen (= tuollainen)	такой
tuoppi	кружка
tuore	свежий
tuota (miettiessд sanottu)	так, вот, ну и т. п. (пустое словечко при преобращении мыслей во фразы)
tupaantuliaiset	новоселье
tupaantuliaislahja	подарок на новоселье
tupakka	табак; сигарета
turha	напрасный, бесполезный, тщетный; [из]лишний
turhaan	напрасно, тщетно, зря
turisti	турист
Turku	Турку
tusina	дюжина
tutkia	изучать, исследовать; расследовать; рассматривать
tuttu	знакомый
tutustua	знакомиться; ознакомиться (с кем-чем)
tuuhea	густой; пушистый
tuulla	ветер дует
TV-dialogi	диалог по ТВ
tyhjentдд	опустошать, опорожнять; очищать, освободить; разряжать; выпускать и проч.
tyhjд	пустой
tyhjдkдynti	холостой ход
tyhmд	глупый
tyhmдsti	глупо
tykдtд	любить, нравиться (кому); хотеть; думать (разг.) (со шведского)
tylsд	тупой, отупелый; скучный
tyttц	девочка; девушка
tyttцystдvд	девушка
tytдr	дочь, дочка
tyynyliina	наволочка
tyynysota	подушечный бой
tyytyvдinen	довольный, удовлетворенный
tyц	работа, труд; дело
tyцasia	служебное дело
tyцhuone	рабочий кабинет, рабочее помещение; мастерская
tyцkaveri	коллега, товарищ по работе
tyцmatka	путь на работу/с работы; командировка
tyцntдд	толкать; (в дверях) от себя; совать
tyцpaikka	место работы; рабочее место
tyцpдivд	рабочий день
tyцtoveri	товарищ по работе, коллега
tyцviikko	рабочая неделя
tдhti	звезда
tдhдn	сюда
tдllainen	[вот] такой
tдmmцinen (= tдllainen)	[вот] такой
tдmд	этот, сей
tдnne	сюда tдnд (> tдmд) > этот, сей (эссив ед. ч.)
tдnддn	сегодня
tдrkeд	важный
tдssд	здесь
tдti (isдn tai дidin sisko)	тетя (сестра отца или матери)
tдti (naisesta)	тетя, тетка (любая взрослая женщина)
tдynnд	полон (чего); переполнен; (о ресторане) мест нет
tдysikuu	полная луна, полнолуние
tдyttдд (iдstд puhuttaessa)	исполняться (кому) (о возрасте)
tдytyy	надо, нужно; должен; следует
tддllд	здесь, тут
tддltд	отсюда
tцnдistд	*толкнуть; * задеть    
 	 
U	Наверх
uida	плавать; купаться
uima-allas	[плавательный] бассейн
uimahalli	закрытый [плавательный] бассейн
uimapuku	купальник
ukki	дедушка
ukkonen	гром; гроза
ukonilma	гроза
ulkomaalainen	иногранец
ulkomailla	за границей, за рубежом
ulkona	на улице; [обедать/ужинать] в ресторане
ulos	на улицу; [пойти] в ресторан
umpisuolentulehdus	аппендицит
umpisuoli	аппендикс
unelma	мечта
uni	сон; сновидение
unohtaa	забывать
upea	роскошный, великолепный, пышный, шикарный
urheilla	заниматься спортом
urheiluosasto	отдел спортивных товаров/принадлежностей
useimmiten	чаще всего
uskoa	верить; полагать, думать; поручить (кому) uudempi (> uusi) более новый, новее (> новый)
uudestaan	снова, опять
uusi	новый    
 	 
V	Наверх
vaan (= vain)	только, лишь
vaan	[не то,] а [это]
vaarallinen	опасный
Vaasa (kaupungin nimi)	Вааса (название города)
vaate	одежда; платье
vaatekauppa	магазин [готовой] одежды/готового платья
vaatepussi	мешок для хранения одежды
vaateripustin	вешалка
vahingossa	по ошибке; нечаянно, ненамеренно; случайно
vahva	прочный, крепкий; сильный, мощный; острый
vai	или; вот [оно что!]
vaihtaa	менять; обменивать; заменять; пересаживаться и проч.
vaihto	[с]мена, обмен, размен, перемена; пересадка и пр.
vaikea	трудный; тяжелый; серьезный
vaikka (= esimerkiksi)	на пример, скажем
vaikka	хотя, хоть; [кто/что/куда/сколько] угодно
vaikuttaa	влиять, воздействовать; казаться
vaille	без (кого-чего) (часто о времени); лишен (чего); чуть меньше (чего)
vaimo	жена; супруга
vain	только, лишь
valita	вы/из/от/подбирать; набирать [номер]
valitettavasti	к сожалению
valittaa	стонать; жаловаться, ныть; подавать жалобу, апеллировать
valkoinen	белый
valkopyykki	нецветное/белое белье
valkoviini	белое вино
vallata	занимать; захватывать/-воевывать/-владевать; охватывать/-владевать
valmis	готовый
valo	свет; огонь
valoisa	светлый
valokuva	фотография, снимок
vanha	старый, пожилой; старинный, древний; недействительный, негодный; бывший, прежний; подержанный, [по]ношенный
vanhemmat	ролители
vapaa	свободный; вольный; вакантный; незанятый; бесплатный и проч.
varata	заказывать; бронировать; запасать[ся]; записываться (на прием) и проч.
varattu	заранее заказынный; занят[о]
varmaan	наверно[е]; вероятно, верно, должно быть; пожалуй
varoa	остерегаться, беречься, опасаться и проч.
varottaa	предупреждать, [пред]остерегать
varovasti	осторожно
varsinkin	особенно, в особенности
varten	для (кого-чего)
Vartiokylд (kaupunginosa Helsingissд)	Вартиокюля (один из районов Хельсинки)
varvas	палец ноги vasemmalle (> vasen) налево (> левый)
vasen	левый
vasta (= ei ennen kuin)	не раньше
vasta (= vihta)	банный веник (в Восточной Финляндии)
vasta (= дsken)	только что
vastaan	навстречу; против
vastaanotto	прием; регистрация; регистратура
vastaanottoapulainen	секретарь в премной (у врача)
vastapддtд	напротив, против (кого-чего)
vastata	отвечать (на/за что); откликаться; соответствовать (чему)
vastaus	ответ
vatsa	живот, желудок
vatsakipu	боль в желудке/животе
vauva	младенец, малыш, малютка
WC (veesee)	туалет, уборная
vegetaristi	вегетарианец
veikata	играть в спортлото; [пред]полагать; от/угадывать
veistos	скульптура
veitsi	нож
veli	брат
velka (olla velkaa)	долг (должен)
vene	лодка; катер, яхта
veneillд	кататься на лодке (катере, яхте)
Venetsia	Венеция
Venдjд	Россия, Русь
venдlдinen	россиянин; русский
Verona	Верона
vesi	вода
vessa	туалет
vessaharja	туалетная щетка
vessapaperi	туалетная бумага vettд (> vesi) воды? (> вода) (партитив ед. ч.)
vetдд	тянуть, тащить; (в дверях) к себе; вытаскивать; натягивать; за/проводить и проч.
video	видео[магнитофон]
viedд	нести, от/yносить, вести, от/yводить и т. п.; вывозить, экспортировать и проч.
vielд	еще
vieras	незнакомый, чужой; незнакомец; посторонний, инородный; гость, посетитель, клиент
vierashuone	комната для гостей
